player_id,season,game_type,fgm,fga,pts,reb,ast,minutes,games_played,ppm,team_id,league_id,full_name,position_simple,status,jersey_number,team_full_name,division,conference
123.0,2022,,542,1118,1485,329,283,2608.726667,80,0.5692432322577243,17.0,,Franz Wagner,,,22.0,Orlando Magic,Southeast,Eastern
124.0,2022,,0,0,0,0,0,0.97,1,0.0,10.0,,Brandon Boston Jr.,,,4.0,LA Clippers,Pacific,Western
124.0,2022,,51,122,143,30,20,248.345,22,0.5758118746099177,10.0,,Brandon Boston Jr.,,,4.0,LA Clippers,Pacific,Western
125.0,2022,,83,107,178,242,25,812.4033333,52,0.2191029907237826,15.0,,Jericho Sims,,,45.0,New York Knicks,Atlantic,Eastern
126.0,2022,,10,24,26,15,8,55.5,6,0.4684684684684684,1.0,,Jalen Johnson,,,1.0,Atlanta Hawks,Southeast,Eastern
126.0,2022,,158,322,395,282,83,1041.601667,70,0.3792236634352468,1.0,,Jalen Johnson,,,1.0,Atlanta Hawks,Southeast,Eastern
129.0,2022,,205,382,546,182,103,1539.23,60,0.3547228159534312,2.0,,Josh Green,,,8.0,Dallas Mavericks,Southwest,Western
130.0,2022,,90,194,270,71,73,579.135,16,0.466212541117356,12.0,,Austin Reaves,,,15.0,Los Angeles Lakers,Pacific,Western
130.0,2022,,259,490,833,193,215,1843.226667,64,0.4519248852642604,12.0,,Austin Reaves,,,15.0,Los Angeles Lakers,Pacific,Western
131.0,2022,,186,444,524,161,155,1245.865,53,0.4205913160735713,17.0,,Jalen Suggs,,,4.0,Orlando Magic,Southeast,Eastern
134.0,2022,,38,91,87,35,52,250.2616667,7,0.3476361407929519,6.0,,Chris Paul,,,3.0,Golden State Warriors,Pacific,Western
134.0,2022,,294,668,819,251,524,1888.635,59,0.4336465224884639,6.0,,Chris Paul,,,3.0,Golden State Warriors,Pacific,Western
135.0,2022,,15,44,43,4,4,82.32,5,0.522351797862002,10.0,,Bones Hyland,,,5.0,LA Clippers,Pacific,Western
135.0,2022,,228,571,659,135,172,1085.488333,56,0.6071000304339521,10.0,,Bones Hyland,,,5.0,LA Clippers,Pacific,Western
139.0,2022,,276,581,733,215,206,1576.901667,50,0.4648355793766816,29.0,,Gordon Hayward,,,20.0,Charlotte Hornets,Southeast,Eastern
141.0,2022,,657,1303,1816,343,377,2681.61,74,0.6772051118544457,7.0,,DeMar DeRozan,,,11.0,Chicago Bulls,Central,Eastern
142.0,2022,,80,125,186,107,11,354.54,42,0.524623455745473,20.0,,JaVale McGee,,,0.0,Sacramento Kings,Pacific,Western
143.0,2022,,51,132,133,143,59,616.7466667,20,0.2156476997462141,3.0,,Al Horford,,,42.0,Boston Celtics,Atlantic,Eastern
143.0,2022,,228,479,616,390,189,1921.375,63,0.3206037343048598,3.0,,Al Horford,,,42.0,Boston Celtics,Atlantic,Eastern
145.0,2022,,18,45,50,17,13,161.8233333,25,0.3089789277007804,23.0,,Garrett Temple,,,14.0,Toronto Raptors,Atlantic,Eastern
146.0,2022,,20,42,60,13,32,182.7566667,5,0.3283053969160622,14.0,,Mike Conley,,,10.0,Minnesota Timberwolves,Northwest,Western
146.0,2022,,261,610,798,182,450,2028.055,67,0.3934804529462958,14.0,,Mike Conley,,,10.0,Minnesota Timberwolves,Northwest,Western
148.0,2022,,74,174,212,81,101,599.4116667,23,0.3536801363362586,9.0,,Kyle Lowry,,,7.0,Miami Heat,Southeast,Eastern
148.0,2022,,196,485,615,225,281,1717.725,55,0.3580316989040737,9.0,,Kyle Lowry,,,7.0,Miami Heat,Southeast,Eastern
150.0,2022,,9,16,27,27,6,78.36166667,8,0.3445562243297294,28.0,,Bismack Biyombo,,,18.0,Memphis Grizzlies,Southwest,Western
150.0,2022,,119,206,263,260,56,874.085,61,0.3008860694326066,28.0,,Bismack Biyombo,,,18.0,Memphis Grizzlies,Southwest,Western
153.0,2022,,446,816,1115,804,140,1968.243333,79,0.5664949964801939,0.0,,Jonas Valanciunas,,,17.0,New Orleans Pelicans,Southwest,Western
155.0,2022,,14,16,41,34,9,90.745,5,0.4518155270262824,10.0,,Mason Plumlee,,,44.0,LA Clippers,Pacific,Western
155.0,2022,,329,484,857,700,245,2052.945,79,0.4174490792495658,10.0,,Mason Plumlee,,,44.0,LA Clippers,Pacific,Western
156.0,2022,,19,51,54,50,16,293.6666667,11,0.1838819523060292,10.0,,P.J. Tucker,,,17.0,LA Clippers,Pacific,Western
156.0,2022,,96,225,266,295,60,1920.055,75,0.1385376981388554,10.0,,P.J. Tucker,,,17.0,LA Clippers,Pacific,Western
157.0,2022,,597,1148,1447,903,265,2746.355,82,0.526880173903228,7.0,,Nikola Vucevic,,,9.0,Chicago Bulls,Central,Eastern
158.0,2022,,3,13,7,4,3,40.93166667,4,0.1710167351951613,11.0,,Jae Crowder,,,99.0,Milwaukee Bucks,Central,Eastern
158.0,2022,,45,94,124,69,27,339.7083333,18,0.365019011442661,11.0,,Jae Crowder,,,99.0,Milwaukee Bucks,Central,Eastern
159.0,2022,,101,223,298,80,101,679.0783333,20,0.4388300809891264,28.0,,Marcus Smart,,,36.0,Memphis Grizzlies,Southwest,Western
159.0,2022,,250,602,703,191,382,1956.76,61,0.359267360330342,28.0,,Marcus Smart,,,36.0,Memphis Grizzlies,Southwest,Western
161.0,2022,,587,1344,1568,328,429,2649.168333,75,0.5918838680305182,0.0,,CJ McCollum,,,3.0,New Orleans Pelicans,Southwest,Western
162.0,2022,,430,882,1273,223,152,1892.866667,59,0.6725249179951881,27.0,,Bojan Bogdanovic,,,44.0,Detroit Pistons,Central,Eastern
164.0,2022,,47,115,132,71,31,355.07,35,0.371757681583913,2.0,,Markieff Morris,,,88.0,Dallas Mavericks,Southwest,Western
165.0,2022,,673,1388,1913,345,327,2767.95,77,0.691125200961,7.0,,Zach LaVine,,,8.0,Chicago Bulls,Central,Eastern
167.0,2022,,181,365,453,112,68,751.1683333,20,0.603060565678934,3.0,,Jaylen Brown,,,7.0,Boston Celtics,Atlantic,Eastern
167.0,2022,,679,1383,1784,459,232,2404.918333,67,0.7418131316644588,3.0,,Jaylen Brown,,,7.0,Boston Celtics,Atlantic,Eastern
170.0,2022,,29,46,75,61,10,176.76,5,0.4243041412084182,14.0,,Rudy Gobert,,,27.0,Minnesota Timberwolves,Northwest,Western
170.0,2022,,360,546,939,814,87,2148.483333,70,0.437052494463079,14.0,,Rudy Gobert,,,27.0,Minnesota Timberwolves,Northwest,Western
171.0,2022,,353,819,972,249,54,1547.511667,48,0.6281051191583682,21.0,,Kelly Oubre Jr.,,,9.0,Philadelphia 76ers,Atlantic,Eastern
172.0,2022,,207,442,592,142,129,874.02,22,0.6773300382142285,9.0,,Jimmy Butler,,,22.0,Miami Heat,Southeast,Eastern
172.0,2022,,479,888,1466,375,340,2138.015,64,0.6856827477824057,9.0,,Jimmy Butler,,,22.0,Miami Heat,Southeast,Eastern
173.0,2022,,115,230,319,153,34,893.4083333,64,0.3570595752355515,2.0,,Derrick Jones Jr.,,,55.0,Dallas Mavericks,Southwest,Western
174.0,2022,,127,277,362,207,74,805.9533333,57,0.4491575194779332,6.0,,Dario Saric,,,20.0,Golden State Warriors,Pacific,Western
175.0,2022,,185,404,543,210,105,799.0433333,20,0.6795626436897274,3.0,,Jayson Tatum,,,0.0,Boston Celtics,Atlantic,Eastern
175.0,2022,,727,1559,2225,649,342,2732.196667,74,0.8143630459966446,3.0,,Jayson Tatum,,,0.0,Boston Celtics,Atlantic,Eastern
178.0,2022,,458,1031,1271,246,270,1988.303333,61,0.6392384798159969,26.0,,Jordan Clarkson,,,0.0,Utah Jazz,Northwest,Western
179.0,2022,,493,1188,1329,259,319,2220.926667,63,0.5983988664493801,29.0,,Terry Rozier,,,3.0,Charlotte Hornets,Southeast,Eastern
181.0,2022,,130,286,374,196,193,1575.376667,67,0.2374035415366476,7.0,,Alex Caruso,,,6.0,Chicago Bulls,Central,Eastern
183.0,2022,,93,184,267,59,42,593.12,20,0.450161855948206,3.0,,Derrick White,,,9.0,Boston Celtics,Atlantic,Eastern
183.0,2022,,350,758,1017,293,321,2319.328333,82,0.4384890166389392,3.0,,Derrick White,,,9.0,Boston Celtics,Atlantic,Eastern
185.0,2022,,186,305,441,354,119,1380.826667,65,0.3193739015470506,0.0,,Larry Nance Jr.,,,22.0,New Orleans Pelicans,Southwest,Western
186.0,2022,,7,29,20,17,14,118.0283333,4,0.1694508381234593,13.0,,Royce O'Neale,,,0.0,Brooklyn Nets,Atlantic,Eastern
186.0,2022,,229,593,671,384,283,2409.235,76,0.2785116437375349,13.0,,Royce O'Neale,,,0.0,Brooklyn Nets,Atlantic,Eastern
188.0,2022,,10,19,23,7,2,45.405,2,0.5065521418345997,8.0,,Victor Oladipo,,,3.0,Houston Rockets,Southwest,Western
188.0,2022,,160,403,449,128,146,1105.64,42,0.4060996346007742,8.0,,Victor Oladipo,,,3.0,Houston Rockets,Southwest,Western
190.0,2022,,141,241,371,53,79,458.6516667,11,0.8088927326250572,16.0,,Devin Booker,,,1.0,Phoenix Suns,Pacific,Western
190.0,2022,,527,1067,1471,240,293,1835.413333,53,0.8014543501194017,16.0,,Devin Booker,,,1.0,Phoenix Suns,Pacific,Western
191.0,2022,,7,8,17,10,0,32.24666667,8,0.5271862724284487,3.0,,Luke Kornet,,,40.0,Boston Celtics,Atlantic,Eastern
191.0,2022,,113,170,261,197,53,804.0883333,69,0.3245912037161999,3.0,,Luke Kornet,,,40.0,Boston Celtics,Atlantic,Eastern
193.0,2022,,404,835,1112,246,262,1538.076667,45,0.7229808655565542,0.0,,Brandon Ingram,,,14.0,New Orleans Pelicans,Southwest,Western
195.0,2022,,14,36,35,24,11,133.7116667,7,0.2617572636988153,29.0,,Cody Martin,,,11.0,Charlotte Hornets,Southeast,Eastern
196.0,2022,,167,347,412,227,85,849.5833333,23,0.4849435998228521,9.0,,Bam Adebayo,,,13.0,Miami Heat,Southeast,Eastern
