player_id,season,game_type,fgm,fga,pts,reb,ast,minutes,games_played,ppm
124.0,2022,regular,51,122,143,30,20,248.345,22,0.5758118746099177
125.0,2022,regular,83,107,178,242,25,812.4033333,52,0.21910299072378264
126.0,2022,playoffs,10,24,26,15,8,55.5,6,0.46846846846846846
126.0,2022,regular,158,322,395,282,83,1041.601667,70,0.3792236634352468
127.0,2022,regular,3,13,10,2,9,52.16166667,8,0.19171166564260397
129.0,2022,regular,205,382,546,182,103,1539.23,60,0.35472281595343125
130.0,2022,playoffs,90,194,270,71,73,579.135,16,0.46621254111735605
130.0,2022,regular,259,490,833,193,215,1843.226667,64,0.4519248852642604
131.0,2022,regular,186,444,524,161,155,1245.865,53,0.42059131607357136
132.0,2022,playoffs,0,0,0,0,0,0.97,1,0.0
132.0,2022,regular,18,41,41,22,27,123.7683333,14,0.331264055246028
134.0,2022,playoffs,38,91,87,35,52,250.2616667,7,0.3476361407929519
134.0,2022,regular,294,668,819,251,524,1888.635,59,0.4336465224884639
135.0,2022,playoffs,15,44,43,4,4,82.32,5,0.522351797862002
135.0,2022,regular,228,571,659,135,172,1085.488333,56,0.6071000304339521
138.0,2022,regular,109,288,293,163,57,815.5683333,56,0.35925867647956167
139.0,2022,regular,276,581,733,215,206,1576.901667,50,0.4648355793766816
140.0,2022,playoffs,0,3,0,1,0,2.963333333,2,0.0
140.0,2022,regular,10,29,27,11,0,72.11833333,7,0.3743846918432384
141.0,2022,regular,657,1303,1816,343,377,2681.61,74,0.6772051118544457
142.0,2022,regular,80,125,186,107,11,354.54,42,0.524623455745473
143.0,2022,playoffs,51,132,133,143,59,616.7466667,20,0.21564769974621414
143.0,2022,regular,228,479,616,390,189,1921.375,63,0.3206037343048598
145.0,2022,regular,18,45,50,17,13,161.8233333,25,0.30897892770078045
146.0,2022,playoffs,20,42,60,13,32,182.7566667,5,0.32830539691606225
146.0,2022,regular,261,610,798,182,450,2028.055,67,0.3934804529462958
148.0,2022,playoffs,74,174,212,81,101,599.4116667,23,0.3536801363362586
148.0,2022,regular,196,485,615,225,281,1717.725,55,0.3580316989040737
150.0,2022,playoffs,9,16,27,27,6,78.36166667,8,0.3445562243297294
150.0,2022,regular,119,206,263,260,56,874.085,61,0.30088606943260665
153.0,2022,regular,446,816,1115,804,140,1968.243333,79,0.5664949964801939
155.0,2022,playoffs,14,16,41,34,9,90.745,5,0.4518155270262824
155.0,2022,regular,329,484,857,700,245,2052.945,79,0.4174490792495658
156.0,2022,playoffs,19,51,54,50,16,293.6666667,11,0.18388195230602927
156.0,2022,regular,96,225,266,295,60,1920.055,75,0.1385376981388554
157.0,2022,regular,597,1148,1447,903,265,2746.355,82,0.526880173903228
158.0,2022,playoffs,3,13,7,4,3,40.93166667,4,0.1710167351951613
158.0,2022,regular,45,94,124,69,27,339.7083333,18,0.365019011442661
159.0,2022,playoffs,101,223,298,80,101,679.0783333,20,0.4388300809891264
159.0,2022,regular,250,602,703,191,382,1956.76,61,0.359267360330342
161.0,2022,regular,587,1344,1568,328,429,2649.168333,75,0.5918838680305182
162.0,2022,regular,430,882,1273,223,152,1892.866667,59,0.6725249179951881
163.0,2022,playoffs,0,3,0,1,0,6.95,2,0.0
163.0,2022,regular,125,209,320,159,33,681.075,57,0.46984546489006346
164.0,2022,regular,47,115,132,71,31,355.07,35,0.37175768158391304
165.0,2022,regular,673,1388,1913,345,327,2767.95,77,0.691125200961
167.0,2022,playoffs,181,365,453,112,68,751.1683333,20,0.603060565678934
167.0,2022,regular,679,1383,1784,459,232,2404.918333,67,0.7418131316644588
170.0,2022,playoffs,29,46,75,61,10,176.76,5,0.4243041412084182
170.0,2022,regular,360,546,939,814,87,2148.483333,70,0.437052494463079
171.0,2022,regular,353,819,972,249,54,1547.511667,48,0.6281051191583682
172.0,2022,playoffs,207,442,592,142,129,874.02,22,0.6773300382142285
172.0,2022,regular,479,888,1466,375,340,2138.015,64,0.6856827477824057
173.0,2022,regular,115,230,319,153,34,893.4083333,64,0.3570595752355515
174.0,2022,regular,127,277,362,207,74,805.9533333,57,0.44915751947793325
175.0,2022,playoffs,185,404,543,210,105,799.0433333,20,0.6795626436897274
175.0,2022,regular,727,1559,2225,649,342,2732.196667,74,0.8143630459966446
177.0,2022,regular,89,169,262,180,33,457.6616667,38,0.5724753001254583
178.0,2022,regular,458,1031,1271,246,270,1988.303333,61,0.6392384798159969
179.0,2022,regular,493,1188,1329,259,319,2220.926667,63,0.5983988664493801
180.0,2022,playoffs,0,1,0,1,0,5.0,1,0.0
180.0,2022,regular,77,151,199,134,26,426.21,38,0.4669059853124047
181.0,2022,regular,130,286,374,196,193,1575.376667,67,0.23740354153664764
182.0,2022,regular,31,63,89,52,32,234.8633333,36,0.3789437829629918
183.0,2022,playoffs,93,184,267,59,42,593.12,20,0.45016185594820607
183.0,2022,regular,350,758,1017,293,321,2319.328333,82,0.4384890166389392
185.0,2022,regular,186,305,441,354,119,1380.826667,65,0.3193739015470506
186.0,2022,playoffs,7,29,20,17,14,118.0283333,4,0.1694508381234593
186.0,2022,regular,229,593,671,384,283,2409.235,76,0.27851164373753495
188.0,2022,playoffs,10,19,23,7,2,45.405,2,0.5065521418345997
188.0,2022,regular,160,403,449,128,146,1105.64,42,0.4060996346007742
190.0,2022,playoffs,141,241,371,53,79,458.6516667,11,0.8088927326250572
190.0,2022,regular,527,1067,1471,240,293,1835.413333,53,0.8014543501194017
191.0,2022,playoffs,7,8,17,10,0,32.24666667,8,0.5271862724284487
191.0,2022,regular,113,170,261,197,53,804.0883333,69,0.3245912037161999
193.0,2022,regular,404,835,1112,246,262,1538.076667,45,0.7229808655565542
194.0,2022,regular,48,114,122,123,25,613.495,42,0.19886062641097318
195.0,2022,regular,14,36,35,24,11,133.7116667,7,0.2617572636988153
196.0,2022,playoffs,167,347,412,227,85,849.5833333,23,0.4849435998228521
196.0,2022,regular,602,1114,1529,688,240,2597.993333,75,0.5885311484746601
197.0,2022,regular,6,12,19,11,1,33.365,12,0.56945901393676
198.0,2022,playoffs,23,48,57,14,20,152.2733333,7,0.3743268684327146
198.0,2022,regular,188,453,493,106,214,968.3116667,48,0.5091335950543081
199.0,2022,regular,21,44,49,22,9,108.8366667,7,0.4502159197420551
201.0,2022,regular,161,431,539,122,196,1338.445,73,0.4027061253917793
202.0,2022,playoffs,9,21,20,12,1,42.01833333,7,0.47598270599944337
202.0,2022,regular,93,197,268,94,44,807.025,56,0.33208388835537933
