player_id,team_id,league_id,full_name,position_simple,status,jersey_number
311,2.0,NBA,Richaun Holmes,B,active,20
313,19.0,NBA,Myles Turner,B,active,33
314,25.0,NBA,Kyle Kuzma,W,active,33
315,16.0,NBA,Keita Bates-Diop,B,active,21
316,21.0,NBA,De'Anthony Melton,G,active,8
317,1.0,NBA,Patty Mills,G,active,8
318,5.0,NBA,Jarrett Allen,B,active,31
319,20.0,NBA,Trey Lyles,B,active,41
322,9.0,NBA,Thomas Bryant,B,active,31
323,13.0,NBA,Lonnie Walker IV,W,active,8
324,28.0,NBA,Ja Morant,G,active,12
325,2.0,NBA,Kyrie Irving,G,active,11
326,26.0,NBA,Collin Sexton,G,active,2
327,20.0,NBA,Domantas Sabonis,B,active,10
329,19.0,NBA,Buddy Hield,W,active,7
330,12.0,NBA,Rui Hachimura,B,active,28
331,8.0,NBA,Jock Landale,B,active,2
332,,,Jarrett Culver,W,active,8
333,7.0,NBA,Andre Drummond,B,active,3
335,5.0,NBA,Damian Jones,B,active,30
337,18.0,NBA,Malcolm Brogdon,G,active,11
338,25.0,NBA,Daniel Gafford,B,active,21
339,22.0,NBA,Keldon Johnson,W,active,3
340,28.0,NBA,Brandon Clarke,B,active,15
341,2.0,NBA,Seth Curry,W,active,30
342,5.0,NBA,Darius Garland,G,active,10
344,,,Alize Johnson,B,inactive,24
345,,,Gabe York,G,inactive,32
346,25.0,NBA,Deni Avdija,W,active,8
347,,,Romeo Langford,W,active,1
349,27.0,NBA,Joe Harris,W,active,31
350,18.0,NBA,Moses Brown,B,active,10
351,20.0,NBA,De'Aaron Fox,G,active,5
353,17.0,NBA,Goga Bitadze,B,active,35
354,,,"Vernon Carey, Jr.",B,active,
356,28.0,NBA,John Konchar,W,active,46
357,13.0,NBA,Ben Simmons,W,active,10
358,15.0,NBA,Dylan Windler,W,active,20
359,15.0,NBA,Donte DiVincenzo,W,active,0
361,3.0,NBA,Oshae Brissett,W,active,12
363,22.0,NBA,Devin Vassell,W,active,24
365,19.0,NBA,Bruce Brown,W,active,11
366,5.0,NBA,Dean Wade,B,active,32
367,16.0,NBA,Chimezie Metu,B,active,4
369,19.0,NBA,Tyrese Haliburton,G,active,0
370,,,Isaiah Todd,B,active,14
371,22.0,NBA,Tre Jones,G,active,33
372,28.0,NBA,Xavier Tillman,B,active,2
373,13.0,NBA,Nic Claxton,B,active,33
374,5.0,NBA,Isaac Okoro,W,active,35
375,,,Terence Davis,W,inactive,3
377,19.0,NBA,Jalen Smith,B,active,25
