player_id,team_id,league_id,first_name,last_name,full_name,jersey_number,position_simple,status
214,13,NBA,Mikal,Bridges,Mikal Bridges,1,W,active
215,2,NBA,Grant,Williams,Grant Williams,3,B,active
218,16,NBA,Udoka,Azubuike,Udoka Azubuike,27,B,active
219,23,NBA,Jalen,McDaniels,Jalen McDaniels,2,W,active
220,9,NBA,Duncan,Robinson,Duncan Robinson,55,W,active
221,7,NBA,Coby,White,Coby White,0,G,active
222,8,NBA,Aaron,Holiday,Aaron Holiday,0,G,active
223,19,NBA,Aaron,Nesmith,Aaron Nesmith,23,W,active
225,0,NBA,Zion,Williamson,Zion Williamson,1,B,active
226,14,NBA,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,9,W,active
227,29,NBA,LaMelo,Ball,LaMelo Ball,1,G,active
228,12,NBA,Gabe,Vincent,Gabe Vincent,7,W,active
230,25,NBA,Landry,Shamet,Landry Shamet,20,G,active
231,3,NBA,Payton,Pritchard,Payton Pritchard,11,G,active
232,13,NBA,Dennis,Smith Jr.,Dennis Smith Jr.,4,G,active
233,12,NBA,Jaxson,Hayes,Jaxson Hayes,11,B,active
235,29,NBA,Nick,Richards,Nick Richards,4,B,active
236,9,NBA,Haywood,Highsmith,Haywood Highsmith,24,W,active
237,,,Javonte,Green,Javonte Green,55,W,active
238,18,NBA,Deandre,Ayton,Deandre Ayton,2,B,active
240,,,Justin,Jackson,Justin Jackson,44,W,active
241,0,NBA,Kira,Lewis Jr.,Kira Lewis Jr.,13,G,active
242,25,NBA,Jared,Butler,Jared Butler,4,G,active
243,,,Kai,Jones,Kai Jones,23,B,inactive
244,5,NBA,Max,Strus,Max Strus,1,W,active
245,7,NBA,Patrick,Williams,Patrick Williams,44,W,active
246,13,NBA,Cameron,Johnson,Cameron Johnson,2,W,active
249,0,NBA,Naji,Marshall,Naji Marshall,8,W,active
250,1,NBA,Trent,Forrest,Trent Forrest,2,G,active
251,29,NBA,James,Bouknight,James Bouknight,2,W,active
252,9,NBA,Tyler,Herro,Tyler Herro,14,W,active
253,7,NBA,Ayo,Dosunmu,Ayo Dosunmu,12,G,active
254,18,NBA,Ish,Wainright,Ish Wainright,23,B,active
255,0,NBA,Matt,Ryan,Matt Ryan,37,W,active
257,0,NBA,Herbert,Jones,Herbert Jones,5,W,active
258,,,Xavier,Sneed,Xavier Sneed,,W,active
259,29,NBA,JT,Thor,JT Thor,21,B,active
260,26,NBA,Omer,Yurtseven,Omer Yurtseven,77,B,active
261,,,Marko,Simonovic,Marko Simonovic,,B,active
263,3,NBA,Sam,Hauser,Sam Hauser,30,W,active
265,0,NBA,Trey,Murphy III,Trey Murphy III,25,W,active
266,29,NBA,Ish,Smith,Ish Smith,14,G,active
269,,,Malcolm,Hill,Malcolm Hill,33,W,active
271,20,NBA,Harrison,Barnes,Harrison Barnes,40,W,active
272,,,Perry,Dozier Jr.,P.J. Dozier,,G,active
273,0,NBA,Jose,Alvarado,Jose Alvarado,15,G,active
274,16,NBA,Bradley,Beal,Bradley Beal,3,W,active
275,22,NBA,Doug,McDermott,Doug McDermott,17,W,active
276,28,NBA,Steven,Adams,Steven Adams,4,B,active
278,9,NBA,Kevin,Love,Kevin Love,42,B,active
281,5,NBA,Ricky,Rubio,Ricky Rubio,13,G,active
283,9,NBA,Josh,Richardson,Josh Richardson,0,W,active
284,14,NBA,Kyle,Anderson,Kyle Anderson,1,W,active
285,16,NBA,Kevin,Durant,Kevin Durant,35,W,active
290,4,NBA,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,5,W,active
291,1,NBA,Dejounte,Murray,Dejounte Murray,5,G,active
292,25,NBA,Tyus,Jones,Tyus Jones,5,G,active
293,,,Goran,Dragic,Goran Dragic,31,G,inactive
294,22,NBA,Cedi,Osman,Cedi Osman,16,W,active
295,4,NBA,Justin,Holiday,Justin Holiday,9,W,active
297,,,T.J.,Warren,T.J. Warren,21,W,inactive
298,,,Raul,Neto,Raul Neto,,G,active
299,23,NBA,Jakob,Poeltl,Jakob Poeltl,19,B,active
300,8,NBA,Dillon,Brooks,Dillon Brooks,9,W,active
301,,,Blake,Griffin,Blake Griffin,91,B,inactive
302,5,NBA,Caris,LeVert,Caris LeVert,3,W,active
303,20,NBA,Alex,Len,Alex Len,25,B,active
305,19,NBA,T.J.,McConnell,T.J. McConnell,9,G,active
306,3,NBA,Kristaps,Porzingis,Kristaps Porzingis,8,B,active
307,22,NBA,Zach,Collins,Zach Collins,23,B,active
308,28,NBA,Jaren,Jackson Jr.,Jaren Jackson Jr.,13,B,active
309,,,James,Johnson,James Johnson,16,B,inactive
310,26,NBA,Lauri,Markkanen,Lauri Markkanen,23,B,active
311,2,NBA,Richaun,Holmes,Richaun Holmes,20,B,active
313,19,NBA,Myles,Turner,Myles Turner,33,B,active
314,25,NBA,Kyle,Kuzma,Kyle Kuzma,33,W,active
315,16,NBA,Keita,Bates-Diop,Keita Bates-Diop,21,B,active
316,21,NBA,De'Anthony,Melton,De'Anthony Melton,8,G,active
317,1,NBA,Patty,Mills,Patty Mills,8,G,active
318,5,NBA,Jarrett,Allen,Jarrett Allen,31,B,active
319,20,NBA,Trey,Lyles,Trey Lyles,41,B,active
322,9,NBA,Thomas,Bryant,Thomas Bryant,31,B,active
323,13,NBA,Lonnie,Walker IV,Lonnie Walker IV,8,W,active
324,28,NBA,Ja,Morant,Ja Morant,12,G,active
325,2,NBA,Kyrie,Irving,Kyrie Irving,11,G,active
326,26,NBA,Collin,Sexton,Collin Sexton,2,G,active
327,20,NBA,Domantas,Sabonis,Domantas Sabonis,10,B,active
329,19,NBA,Buddy,Hield,Buddy Hield,7,W,active
330,12,NBA,Rui,Hachimura,Rui Hachimura,28,B,active
331,8,NBA,Jock,Landale,Jock Landale,2,B,active
332,,,Jarrett,Culver,Jarrett Culver,8,W,active
333,7,NBA,Andre,Drummond,Andre Drummond,3,B,active
335,5,NBA,Damian,Jones,Damian Jones,30,B,active
337,18,NBA,Malcolm,Brogdon,Malcolm Brogdon,11,G,active
338,25,NBA,Daniel,Gafford,Daniel Gafford,21,B,active
339,22,NBA,Keldon,Johnson,Keldon Johnson,3,W,active
340,28,NBA,Brandon,Clarke,Brandon Clarke,15,B,active
341,2,NBA,Seth,Curry,Seth Curry,30,W,active
342,5,NBA,Darius,Garland,Darius Garland,10,G,active
344,,,Alize,Johnson,Alize Johnson,24,B,inactive
345,,,Gabe,York,Gabe York,32,G,inactive
346,25,NBA,Deni,Avdija,Deni Avdija,8,W,active
347,,,Romeo,Langford,Romeo Langford,1,W,active
349,27,NBA,Joe,Harris,Joe Harris,31,W,active
350,18,NBA,Moses,Brown,Moses Brown,10,B,active
351,20,NBA,De'Aaron,Fox,De'Aaron Fox,5,G,active
353,17,NBA,Goga,Bitadze,Goga Bitadze,35,B,active
354,,,Vernon,Carey Jr.,"Vernon Carey, Jr.",,B,active
356,28,NBA,John,Konchar,John Konchar,46,W,active
357,13,NBA,Ben,Simmons,Ben Simmons,10,W,active
358,15,NBA,Dylan,Windler,Dylan Windler,20,W,active
359,15,NBA,Donte,DiVincenzo,Donte DiVincenzo,0,W,active
361,3,NBA,Oshae,Brissett,Oshae Brissett,12,W,active
363,22,NBA,Devin,Vassell,Devin Vassell,24,W,active
365,19,NBA,Bruce,Brown,Bruce Brown,11,W,active
366,5,NBA,Dean,Wade,Dean Wade,32,B,active
367,16,NBA,Chimezie,Metu,Chimezie Metu,4,B,active
369,19,NBA,Tyrese,Haliburton,Tyrese Haliburton,0,G,active
370,,,Isaiah,Todd,Isaiah Todd,14,B,active
371,22,NBA,Tre,Jones,Tre Jones,33,G,active
372,28,NBA,Xavier,Tillman,Xavier Tillman,2,B,active
373,13,NBA,Nic,Claxton,Nic Claxton,33,B,active
374,5,NBA,Isaac,Okoro,Isaac Okoro,35,W,active
375,,,Terence,Davis,Terence Davis,3,W,inactive
377,19,NBA,Jalen,Smith,Jalen Smith,25,B,active
378,25,NBA,Anthony,Gill,Anthony Gill,16,B,active
380,28,NBA,Desmond,Bane,Desmond Bane,22,W,active
381,13,NBA,Day'Ron,Sharpe,Day'Ron Sharpe,20,B,active
382,3,NBA,Lamar,Stevens,Lamar Stevens,77,W,active
383,3,NBA,Neemias,Queta,Neemias Queta,88,B,active
386,25,NBA,Corey,Kispert,Corey Kispert,24,W,active
387,10,NBA,Joshua,Primo,Joshua Primo,12,W,active
388,28,NBA,Ziaire,Williams,Ziaire Williams,8,W,active
389,20,NBA,Kessler,Edwards,Kessler Edwards,17,W,active
390,5,NBA,Evan,Mobley,Evan Mobley,4,B,active
391,20,NBA,Davion,Mitchell,Davion Mitchell,15,G,active
393,20,NBA,Chris,Duarte,Chris Duarte,3,W,active
394,,,Jordan,Schakel,Jordan Schakel,8,W,active
395,,,Joe,Wieskamp,Joe Wieskamp,10,W,active
397,13,NBA,Cam,Thomas,Cam Thomas,24,W,active
401,19,NBA,Isaiah,Jackson,Isaiah Jackson,22,B,active
402,23,NBA,Thaddeus,Young,Thaddeus Young,21,B,active
404,28,NBA,Santi,Aldama,Santi Aldama,7,B,active
405,,,David,Duke Jr.,David Duke,1,W,active
409,,,Duane,Washington Jr.,Duane Washington Jr.,,G,inactive
410,,,Khem,Birch,Khem Birch,24,B,inactive
411,16,NBA,Eric,Gordon,Eric Gordon,23,W,active
412,21,NBA,Patrick,Beverley,Patrick Beverley,22,G,active
413,6,NBA,Cory,Joseph,Cory Joseph,1,G,active
414,4,NBA,DeAndre,Jordan,DeAndre Jordan,6,B,active
417,7,NBA,Terry,Taylor,Terry Taylor,32,W,active
418,23,NBA,Pascal,Siakam,Pascal Siakam,43,B,active
419,,,John,Wall,John Wall,,G,inactive
420,12,NBA,D'Angelo,Russell,D'Angelo Russell,1,G,active
421,26,NBA,Kelly,Olynyk,Kelly Olynyk,41,B,active
422,10,NBA,James,Harden,James Harden,1,G,active
425,,,Andre,Iguodala,Andre Iguodala,9,W,inactive
426,8,NBA,Fred,VanVleet,Fred VanVleet,5,G,active
427,23,NBA,Dennis,Schroder,Dennis Schroder,17,G,active
428,14,NBA,Karl-Anthony,Towns,Karl-Anthony Towns,32,B,active
429,,,Rodney,McGruder,Rodney McGruder,19,W,inactive
430,,NBA,Danny,Green,Danny Green,,W,inactive
432,,,Mamadi,Diakite,Mamadi Diakite,21,B,active
433,6,NBA,Stephen,Curry,Stephen Curry,30,G,active
434,23,NBA,O.G.,Anunoby,O.G. Anunoby,3,W,active
435,12,NBA,Christian,Wood,Christian Wood,35,B,active
436,11,NBA,Malik,Beasley,Malik Beasley,5,W,active
437,18,NBA,Jerami,Grant,Jerami Grant,9,B,active
438,21,NBA,Tobias,Harris,Tobias Harris,12,W,active
442,23,NBA,Chris,Boucher,Chris Boucher,25,B,active
444,12,NBA,Taurean,Prince,Taurean Prince,12,W,active
445,,,Frank,Jackson,Frank Jackson,3,G,inactive
446,21,NBA,Joel,Embiid,Joel Embiid,21,B,active
449,6,NBA,Klay,Thompson,Klay Thompson,11,W,active
450,3,NBA,Svi,Mykhailiuk,Svi Mykhailiuk,50,W,active
451,1,NBA,Bruno,Fernando,Bruno Fernando,24,B,active
453,27,NBA,Marvin,Bagley III,Marvin Bagley III,35,B,active
454,5,NBA,Georges,Niang,Georges Niang,20,B,active
457,6,NBA,Draymond,Green,Draymond Green,23,B,active
458,23,NBA,Gary,Trent Jr.,Gary Trent Jr.,33,W,active
459,,,Kevin,Porter Jr.,Kevin Porter Jr.,3,W,inactive
460,16,NBA,Josh,Okogie,Josh Okogie,2,W,active
461,,,Hamidou,Diallo,Hamidou Diallo,6,W,active
462,21,NBA,Furkan,Korkmaz,Furkan Korkmaz,30,W,active
465,23,NBA,Otto,Porter Jr.,Otto Porter Jr.,32,W,active
467,1,NBA,Garrison,Mathews,Garrison Mathews,25,W,active
468,12,NBA,Jarred,Vanderbilt,Jarred Vanderbilt,2,B,active
470,14,NBA,Shake,Milton,Shake Milton,18,G,active
472,,,Kezie,Okpala,KZ Okpala,,W,inactive
473,6,NBA,Andrew,Wiggins,Andrew Wiggins,22,W,active
474,16,NBA,Yuta,Watanabe,Yuta Watanabe,18,W,active
475,8,NBA,Jalen,Green,Jalen Green,4,W,active
476,14,NBA,Jordan,McLaughlin,Jordan McLaughlin,6,G,active
477,27,NBA,Killian,Hayes,Killian Hayes,7,G,active
480,,,Devon,Dotson,Devon Dotson,15,G,active
481,6,NBA,Kevon,Looney,Kevon Looney,5,B,active
483,14,NBA,Daishen,Nix,Daishen Nix,12,G,active
484,28,NBA,Jaylen,Nowell,Jaylen Nowell,24,W,active
485,1,NBA,Saddiq,Bey,Saddiq Bey,41,W,active
486,22,NBA,Charles,Bassey,Charles Bassey,28,B,active
489,6,NBA,Gary,Payton II,Gary Payton II,0,G,active
490,23,NBA,Precious,Achiuwa,Precious Achiuwa,5,B,active
491,21,NBA,Kenyon,Martin Jr.,Kenyon Martin Jr.,1,B,active
492,14,NBA,Naz,Reid,Naz Reid,11,B,active
493,27,NBA,Isaiah,Stewart,Isaiah Stewart,28,B,active
494,18,NBA,Matisse,Thybulle,Matisse Thybulle,4,W,active
496,,,Louis,King,Louis King,7,W,active
497,16,NBA,Damion,Lee,Damion Lee,10,W,active
498,23,NBA,Malachi,Flynn,Malachi Flynn,22,G,active
499,,,Anthony,Lamb,Anthony Lamb,,W,active
500,14,NBA,Anthony,Edwards,Anthony Edwards,5,W,active
501,16,NBA,Saben,Lee,Saben Lee,38,G,active
507,17,NBA,Trevelin,Queen,Trevelin Queen,12,W,active
508,14,NBA,Jaden,McDaniels,Jaden McDaniels,3,W,active
509,4,NBA,Braxton,Key,Braxton Key,11,B,active
510,21,NBA,Tyrese,Maxey,Tyrese Maxey,0,G,active
513,,,Juan,Anderson,Juan Toscano-Anderson,95,W,active
514,,,Justin,Champagnie,Justin Champagnie,11,W,active
515,8,NBA,Jae'Sean,Tate,Jae'Sean Tate,8,W,active
516,,,Leandro,Bolmaro,Leandro Bolmaro,10,W,active
517,14,NBA,Luka,Garza,Luka Garza,55,B,active
518,21,NBA,Paul,Reed,Paul Reed,44,B,active
521,25,NBA,Jordan,Poole,Jordan Poole,13,W,active
522,23,NBA,Scottie,Barnes,Scottie Barnes,4,W,active
523,26,NBA,Josh,Christopher,Josh Christopher,13,W,active
524,,,Nathan,Knight,Nathan Knight,,B,inactive
